"","county","state","pollingplaces","pppcapita","peopleppp","plean","Totalpopulation","pctWhite","pctBlackorAfricanAmerican","pctHispanicorLatino(ofanyrace)","pctNotHispanicorLatino","Citizen,18andoverpopulation","pctUnemploymentRate","Meantraveltimetowork(minutes)","pctLessthan$10,000","pct$10,000to$14,999","pct$15,000to$24,999","pct$25,000to$34,999","pct$35,000to$49,999","pct$50,000to$74,999","pct$75,000to$99,999","pct$100,000to$149,999","pct$150,000to$199,999","pct$200,000ormore","Medianhouseholdincome(dollars)","Meanhouseholdincome(dollars)","Percapitaincome(dollars)","pctFamiliesIncomeBelowPoverty","pctPeopleIncomeBelowPoverty","pctLessthan9thgrade","pct9thto12thgrade,nodiploma","pctHighschoolgraduate(includesequivalency)","pctSomecollege,nodegree","pctAssociate'sdegree","pctBachelor'sdegree","pctGraduateorprofessionaldegree","pctHighschoolgraduateorhigher","pctBachelor'sdegreeorhigher","pctNative","pctForeignborn","popdensity","id","region"
"1","ABBEVILLE","SC",16,0.000826190230300527,1210.375,-14.3849961919269,24657,69.8,27.4,1.4,98.6,19366,7.6,27.2,11.1,9.9,13.6,13.3,15.7,16.4,8.2,8.5,2.2,1.2,36685,51486,21185,16.8,22.5,6.6,13.2,34.6,18.3,11.4,11.4,4.5,80.2,15.9,98.7,1.3,50.17429,"0500000US45001","South"
"2","ACADIA","LA",55,0.0012134583563155,824.090909090909,-28.9626865671642,62568,79.1,17.8,2.5,97.5,45325,9.1,28.2,10.2,7.5,14.9,10.7,13.2,13.5,11.2,10.9,4.7,3.1,41177,60714,22784,19.3,23.9,9.9,11.9,41.2,17.9,5.8,9.5,3.9,78.2,13.4,98.4,1.6,95.49897,"0500000US22001","South"
"3","ADAIR","IA",5,0.000909090909090909,1100,-18.4752365052866,7124,97.8,0.4,1.9,98.1,5500,3.5,23.1,4.8,4.6,10.6,11.2,17,19.1,15.5,11.8,3,2.5,51859,67912,29984,4.9,9.1,2.1,3.7,43.1,21.9,13.8,11.6,3.8,94.2,15.4,98.5,1.5,12.51426,"0500000US19001","Midwest"
"4","ADAIR","OK",17,0.00105833281454274,944.882352941176,-27.5976657480953,22113,42.3,0.3,6.6,93.4,16063,5.3,24.7,12.8,9.4,15.4,14.7,14.3,14.7,10.5,6.2,1.2,0.8,32986,45683,16851,23.2,29.3,5.1,14.6,45.6,18.6,4.5,8.7,2.8,80.2,11.6,98.3,1.7,38.54593,"0500000US40001","South"
"5","ADAMS","IA",5,0.00170415814587594,586.8,-21.1734693877551,3726,98.3,0.4,1.3,98.7,2934,2.8,20.7,5.7,5.5,8.3,15.8,15.9,22,11.6,9.8,2.6,2.9,49229,63550,27824,5.8,11.5,2.1,3.9,39.1,23,14.3,13.7,4,94.1,17.7,99.2,0.8,8.799504,"0500000US19003","Midwest"
"6","ADAMS","IL",74,0.00144740445174667,690.891891891892,-24.7948802100427,66427,93.1,4.1,1.5,98.5,51126,4.7,17.1,6.1,4.5,11.1,11.7,15.3,20.3,11.8,12.3,3.5,3.4,51398,69598,29347,8.2,12.1,2,5.4,34.5,24.9,8.4,15.6,9.2,92.6,24.8,98.4,1.6,77.6796,"0500000US17001","Midwest"
"7","ADAMS","ND",2,0.00111358574610245,898,-30.8,2351,93.1,2.1,1.7,98.3,1796,1.3,13.5,6.9,7.6,10.9,7.3,13.9,16.6,6.6,21.1,3.9,5.3,54875,74444,33652,5,8.3,1.3,3.2,33.6,23.1,10.2,18.3,10.3,95.5,28.6,96.9,3.1,2.380492,"0500000US38001","Midwest"
"8","ADAMS","NE",28,0.00121065375302663,826,-23.7707522440226,31583,93.3,0.7,9.9,90.1,23128,3.3,16.1,6.5,4.1,12,12,14.3,18.5,12.7,12.9,3.4,3.6,51536,69692,28783,7.7,13,4.1,5.9,28,24.8,12.2,15.5,9.4,90,24.9,94.3,5.7,56.07055,"0500000US31001","Midwest"
"9","ADAMS","OH",21,0.00100181280412174,998.190476190476,-28.8256713700501,27878,97.2,0.4,1,99,20962,7.1,37.4,13.4,6.8,16.7,11,14.1,14.2,9.5,9.7,2.3,2.1,36894,54039,21543,16.6,22.6,7.3,13.6,43.6,15.7,7,8.4,4.5,79.2,12.9,99.4,0.6,47.74716,"0500000US39001","Midwest"
"10","ADAMS","PA",49,0.000621370057571838,1609.34693877551,-18.8466763069103,102023,92.6,1.4,6.9,93.1,78858,4.5,28.2,3.4,3.6,7.8,10.3,13.1,20,15.6,16.3,6,4.1,64507,77987,30534,5.8,8.8,4,7.4,40.5,17.1,8.6,12.8,9.6,88.6,22.4,96,4,196.6667,"0500000US42001","Northeast"
"11","ADAMS","WI",43,0.00254845018668879,392.395348837209,-11.3452271096073,20073,92.9,2.8,3.9,96.1,16873,7.4,27.9,4.3,6.7,15.3,13.1,17.3,19.9,11.6,7.9,1.9,2,43280,57609,25591,9.1,14.8,2.5,10.3,42.8,23.6,8.3,8.3,4.1,87.1,12.4,97.4,2.6,31.08933,"0500000US55001","Midwest"
"12","AIKEN","SC",85,0.000677458176920195,1476.10588235294,-14.3886401790711,166926,70.6,24.7,5.6,94.4,125469,7.8,24.9,7.3,5.5,11.4,11,14.7,18.4,12.1,12.3,4.1,3.1,50036,66713,27526,12.9,16.1,4.2,8.4,32.2,20.7,8,16.9,9.5,87.3,26.4,95.3,4.7,155.9169,"0500000US45003","South"
"13","AITKIN","MN",54,0.00411553997408734,242.981481481481,-13.7687861271676,15834,94.8,0.6,1.4,98.6,13121,5.9,26.4,6.9,6.4,12.5,11.7,16.6,20.5,12.1,9.3,2.2,1.8,45989,58231,27646,8.6,13,2.2,6.8,37.7,24.4,11.4,12.2,5.2,91,17.4,98.7,1.3,8.691416,"0500000US27001","Midwest"
"14","ALAMANCE","NC",37,0.000319039776499703,3134.40540540541,-6.5461964441854,160576,70.2,19.1,12.4,87.6,115973,5.7,23.8,7.2,5.5,12.9,11.8,16.6,16.5,10.9,12.4,3.9,2.4,45735,64199,26215,12.7,16.8,5.6,8.8,27.6,23.9,10.1,16.8,7.2,85.5,24,92.1,7.9,379.2248,"0500000US37001","South"
"15","ALEXANDER","IL",11,0.00223259590014207,447.909090909091,-4.2422044960116,6532,62.4,33.2,1.1,98.9,4927,7,29.4,12.5,7.5,18,12.3,17.9,15.3,7.8,4.5,3.7,0.5,34709,45672,19065,22.9,30.2,4.9,14.2,37.8,22.6,9.2,8.9,2.4,80.9,11.3,99.3,0.7,27.73424,"0500000US17003","Midwest"
"16","ALEXANDER","NC",10,0.000349296168221035,2862.9,-28.6681012514865,37119,87.9,5.7,4.6,95.4,28629,6.7,24.1,6.6,5.9,14.6,11.3,16.9,16.4,12.6,10.4,2.3,3,44961,63086,24452,11.7,14.9,5.5,12.9,38.6,17.2,11.1,10.1,4.6,81.6,14.7,96.5,3.5,142.7736,"0500000US37003","South"
"17","ALFALFA","OK",8,0.00174939864421605,571.625,-39.9488134015821,5857,77.6,3.3,5.3,94.7,4573,3.4,18.8,3.9,5.8,7.6,9,14.3,23.1,14.8,12.8,4.4,4.3,59569,82421,27871,5.4,8.9,4.3,8.9,39.1,21.5,6.1,14.5,5.7,86.8,20.2,96.4,3.6,6.759729,"0500000US40003","South"
